sqft_lot,sqft_living15,age,zipcode,bathrooms,bedrooms,renov_age,sqft_basement,grade,price
5650.0,1340.0,59.0,310612.76,1.0,3.0,0.0,0.0,7.0,221900.0
7242.0,1690.0,63.0,469455.77,2.25,3.0,40.0,400.0,7.0,538000.0
10000.0,2720.0,82.0,462480.04,1.0,2.0,0.0,0.0,6.0,180000.0
5000.0,1360.0,49.0,551688.67,3.0,4.0,0.0,910.0,7.0,604000.0
8080.0,1800.0,28.0,685605.78,2.0,3.0,0.0,0.0,8.0,510000.0
101930.0,4760.0,13.0,678163.06,4.5,4.0,0.0,1530.0,11.0,1225000.0
6819.0,2238.0,19.0,294111.28,2.25,3.0,0.0,0.0,7.0,257500.0
9711.0,1650.0,52.0,302878.88,1.5,3.0,0.0,0.0,7.0,291850.0
7470.0,1780.0,55.0,359483.24,1.0,3.0,0.0,730.0,7.0,229500.0
6560.0,2390.0,12.0,366867.6,2.5,3.0,0.0,0.0,7.0,323000.0
6000.0,1330.0,72.0,619900.55,1.0,2.0,0.0,300.0,7.0,468000.0
19901.0,1780.0,87.0,462480.04,1.0,3.0,0.0,0.0,7.0,310000.0
9680.0,1370.0,37.0,685605.78,1.75,3.0,0.0,0.0,7.0,400000.0
4850.0,1360.0,115.0,579053.42,2.0,5.0,0.0,0.0,7.0,530000.0
5000.0,2140.0,36.0,424706.36,3.0,4.0,0.0,970.0,9.0,650000.0
14040.0,1890.0,20.0,424788.75,2.0,3.0,0.0,0.0,7.0,395000.0
9850.0,1060.0,93.0,234284.04,1.0,2.0,0.0,0.0,7.0,189000.0
9774.0,1280.0,46.0,294111.28,1.0,3.0,0.0,0.0,7.0,230000.0
4980.0,1400.0,67.0,386997.4,1.75,4.0,0.0,760.0,7.0,385000.0
6300.0,2240.0,19.0,334921.06,2.5,5.0,0.0,0.0,8.0,285000.0
9643.0,1220.0,29.0,296187.98,1.5,2.0,0.0,0.0,7.0,252700.0
6500.0,2200.0,29.0,296187.98,2.25,3.0,0.0,0.0,8.0,329000.0
4697.0,1030.0,73.0,234284.04,2.0,3.0,0.0,0.0,6.0,233000.0
2691.0,1760.0,99.0,849448.02,1.75,3.0,0.0,700.0,8.0,937000.0
1581.0,1860.0,105.0,1095499.34,1.0,3.0,0.0,0.0,8.0,667000.0
6380.0,1520.0,66.0,619900.55,1.75,3.0,0.0,730.0,7.0,438000.0
7173.0,2630.0,10.0,645231.46,2.5,4.0,0.0,0.0,8.0,719000.0
3980.0,2580.0,11.0,616990.59,2.5,3.0,0.0,0.0,8.0,580500.0
1265.0,1390.0,9.0,386997.4,1.5,2.0,0.0,0.0,7.0,280000.0
5000.0,1460.0,85.0,576795.01,1.75,4.0,0.0,820.0,7.0,687500.0
3000.0,1570.0,85.0,576795.01,1.0,3.0,0.0,0.0,8.0,535000.0
6659.0,2020.0,33.0,353608.64,2.75,4.0,0.0,780.0,7.0,322500.0
3060.0,1590.0,84.0,619900.55,2.5,3.0,72.0,790.0,8.0,696000.0
34848.0,2160.0,81.0,645231.46,1.0,4.0,0.0,730.0,5.0,550000.0
6000.0,1730.0,110.0,579053.42,2.0,4.0,0.0,0.0,8.0,640000.0
8075.0,1290.0,46.0,280804.69,1.0,4.0,0.0,330.0,7.0,240000.0
7553.0,2620.0,18.0,420890.55,2.5,4.0,0.0,0.0,8.0,605000.0
5520.0,2470.0,14.0,685605.78,2.5,4.0,0.0,0.0,9.0,625000.0
24186.0,2410.0,30.0,464231.84,2.25,4.0,0.0,1620.0,8.0,775000.0
5639.0,3625.0,0.0,678163.06,2.75,5.0,0.0,0.0,9.0,861990.0
2280.0,1580.0,92.0,849448.02,1.0,3.0,0.0,0.0,7.0,685000.0
9656.0,1340.0,55.0,353608.64,1.0,3.0,0.0,360.0,6.0,309000.0
13603.0,3050.0,11.0,424788.75,2.5,3.0,0.0,0.0,8.0,488000.0
8528.0,1228.0,49.0,286732.79,1.0,3.0,0.0,0.0,6.0,210490.0
13416.0,2680.0,33.0,616780.84,2.5,4.0,0.0,0.0,9.0,785000.0
5963.0,970.0,62.0,619900.55,1.75,3.0,0.0,0.0,7.0,450000.0
65005.0,2680.0,62.0,487479.63,2.5,3.0,0.0,588.0,9.0,1350000.0
9199.0,1190.0,59.0,284908.6,1.0,3.0,0.0,0.0,7.0,228000.0
9134.0,1990.0,49.0,420890.55,2.5,5.0,0.0,1510.0,8.0,345000.0
4080.0,1410.0,64.0,576795.01,1.75,3.0,0.0,410.0,7.0,600000.0
8550.0,1480.0,34.0,576795.01,1.75,2.0,0.0,990.0,7.0,585000.0
6000.0,2730.0,88.0,862825.23,2.25,5.0,0.0,600.0,8.0,920000.0
5000.0,1950.0,19.0,862825.23,2.5,4.0,0.0,0.0,9.0,885000.0
4495.0,2250.0,6.0,311632.11,2.5,4.0,0.0,0.0,7.0,292500.0
4750.0,2690.0,12.0,311632.11,2.5,3.0,0.0,0.0,8.0,301000.0
14342.0,2960.0,46.0,645507.38,3.25,5.0,0.0,0.0,8.0,951000.0
9976.0,2270.0,24.0,493552.53,3.0,4.0,0.0,0.0,8.0,430000.0
21235.0,2570.0,55.0,464231.84,2.25,3.0,0.0,560.0,8.0,650000.0
8400.0,1290.0,60.0,284908.6,1.75,3.0,0.0,0.0,7.0,289000.0
8690.0,2500.0,41.0,464231.84,1.75,3.0,0.0,0.0,8.0,505000.0
1044.0,1580.0,0.0,619900.55,1.75,3.0,0.0,0.0,8.0,549000.0
6000.0,1440.0,35.0,634360.18,2.25,3.0,0.0,550.0,7.0,425000.0
3809.0,1440.0,89.0,594547.65,2.75,3.0,0.0,1000.0,7.0,317625.0
